6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
1u8s_A	_10_j_8_B_0_-_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_4_j_3_I_2_I_1_m_2_F_9_H_0_-_0_-_5_j_4_H_2_I_0_-_5_l	0.360
2c06_A	_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_13_D_0_-_3_f_4_A_1_A_24_B_14_D_0_-_2_f_0_-_4_b	0.406
1buy_A	_12_m_0_-_15_q_12_j_2_B_1_i_5_i	_0_m_21_c_4_r_8_n_0_-_26_j_5_g	0.564
2gi3_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_0_-_0_-_5_g_10_C_0_-_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_2_c_4_c_2_l_2_C_15_D_13_b_0_-_0_-_9_c_6_E_32_g_4_E_5_f_2_C_19_E_2_e_32_C_0_d_4_l_4_C_4_m_7_g_0_-_2_k_5_l_2_D_14_d_5_e_0_-_3_H_2_G_0_-_0_-_5_k	0.368
5veu_F	_2_e_2_h_14_i_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_0_c_14_e_1_j_4_D_2_D_3_d_20_d_6_l_1_r_0_-_0_-_4_A_0_m_12_j_5_g_0_-_1_h_7_n_8_h_0_-_5_t_1_k_0_-_8_c_0_-_3_k_6_C_4_B_2_B_4_C_0_-_1_d_0_-_13_c_20_l_0_-_0_-_2_D	0.383
7c8n_A	_14_i_8_F_0_-_2_I_0_-_9_c_7_l_5_o	_0_g_12_E_6_H_2_H_3_k_4_d_3_g_6_p	0.492
3qh4_A	_10_j_8_B_0_m_0_-_0_-_8_k_0_-_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l	_13_j_2_D_11_l_1_c_1_J_1_l_7_D_9_d_8_j_10_b_9_G_3_k_4_I_2_c_4_m	0.441
3g20_B	_2_c_1_g_9_m_21_B_4_D_0_-_0_b	_9_c_0_-_0_-_31_B_8_C_12_A_0_c	0.377
4zjb_G	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_n_3_b_0_-_0_-_14_k_0_-_6_c_5_i	0.386
1kn6_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_C_0_-_4_f_0_-_6_A_9_D_0_-_17_e	0.420
2qqy_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_o_2_e_5_r_21_p_3_f_0_-_2_d_2_f	0.482
3ecd_D	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_0_-_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m	_1_l_0_-_1_A_0_-_9_f_2_b_5_k_4_B_5_j_5_D_3_D_0_-_10_j_3_D_9_i_3_D_4_d_6_b_3_D_2_b_0_-_5_D_2_i_0_-_4_k_2_p_3_A_0_b_5_D_1_b_3_i_0_-_2_A_1_A_14_D_0_-_1_d_4_n_0_-_5_l	0.353
4ds2_B	_9_m_21_B_4_D_0_b_0_-_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_m_8_F_4_F_5_b_4_F_10_C_17_c_8_k_0_-_0_-_0_-_12_h_0_-_1_g	0.393
2gi4_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_6_l_6_E_0_-_11_h_14_c_4_B_0_-_3_i_2_d_0_A_15_c_4_m	0.413
1yt8_A	_8_B_0_m_8_k_0_-_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_0_-_0_-_0_-_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_B_0_-_1_i_3_D_3_c_8_A_2_j_7_C_5_j_5_C_0_-_2_f_10_k_3_A_1_h_4_D_3_d_6_A_2_j_0_-_6_D_4_j_6_C_2_f_0_-_17_m_2_B_1_h_5_D_3_e_6_A_2_e_1_c_6_D_9_d_3_D_4_b_18_A_1_f_5_D_3_e_6_A_2_j_0_-_4_D_0_-_4_k_3_C_2_f_34_f_1_g	0.395
1f9s_D	_2_c_0_-_1_C_0_f_5_g_10_C_2_k	_0_b_0_F_9_E_0_-_0_-_4_C_3_j	0.401
6y5e_G	_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_c_7_e_0_-_2_b_0_-_8_q_7_i_0_-_1_e_16_b	0.441
5xnl_a	_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_0_-_12_j_2_B_1_i	_0_h_9_p_3_A_6_A_3_b_28_e_2_r_6_k_5_d_2_b_5_l_5_q_12_c_11_j_9_q_24_l	0.493
3t1r_C	_0_m_0_-_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_0_m_3_E_4_E_9_k_1_e_7_D_0_-_3_F_4_G_0_-_0_-_4_p	0.407
5xkd_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_0_-_0_-_0_-_1_g_0_-_9_m_21_B_4_D_0_b_0_-_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_0_D_0_-_11_b_10_k_0_-_0_-_0_-_4_C_13_f_9_h_6_F_5_k_4_E_4_e_0_-_8_n_0_-_7_C_4_B_1_b_5_A_4_A_14_C_4_i_2_C_4_m_0_-_0_-_4_b_1_I_3_j_4_j_12_g_1_b_2_j_0_-_6_j_5_C_1_k_5_C_6_l_12_d	0.375
6d7k_F	_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_b_0_-_18_q_1_c_2_a_0_-_10_j_1_f_3_t_8_h_1_l_4_d_21_b_7_n_13_t_9_m_0_-_1_b_6_h	0.384
3mc1_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j	_0_C_9_k_8_f_4_c_7_l_12_j_0_-_2_H_0_-_0_i_0_-_3_b_0_-_2_D_8_f_7_b_6_g_6_B_6_f_3_B_2_h	0.406
6lp9_C	_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_4_k_4_D_0_e_0_-_0_-_0_B_5_E	0.451
2j3t_C	_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_5_E_0_-_0_-_10_o_10_B_4_E_5_E_0_-_7_e_24_j	0.499
3qzy_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_0_-_1_g_9_m_21_B_4_D_0_b_11_e	_0_m_0_-_7_o_4_k_6_k_0_-_3_b_8_n_3_n_4_i_1_m_5_B_4_B_2_n_13_f	0.513
5a9q_B	_0_k_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_1_k_5_k_0_-_15_n_10_n_1_c_3_t_2_g_4_d_0_-_0_-_3_d_3_k_6_k_0_-_0_-_0_-_2_l_2_h_0_-_4_j_3_l_4_g_8_o_2_h_6_j_0_-_2_e_5_g_3_j_3_k_6_k_0_-_3_p_9_g_4_a_12_j_0_-_4_m_5_n_8_k_0_-_7_h_3_k_5_l_19_g	0.386
2j9c_A	_14_i_8_F_0_-_0_-_2_I_9_c_7_l_5_o_3_c	_1_k_6_F_9_A_2_A_5_J_0_-_0_l_7_G_12_c	0.393
3f7d_A	_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k	_0_h_3_j_0_-_0_-_0_-_16_k_9_r_0_-_0_-_4_B_0_-_0_-_5_B_0_f_2_n_4_j_4_b_4_o_6_p_12_f	0.380
2jnt_A	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_c_2_j_7_k_8_l_0_-_2_j_0_-_6_j	0.515
3pvl_A	_0_k_10_j_8_B_0_m_0_-_8_k_2_e_2_h_0_-_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_0_-_0_-_1_D_0_-_2_c_0_-_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_15_k_1_k_0_-_6_m_7_h_6_k_0_-_8_h_3_F_4_E_5_j_8_F_2_E_0_-_5_k_0_-_5_b_0_-_3_E_8_b_0_-_0_-_1_m_7_l_5_j_2_b_6_m_6_l_6_H_7_F_2_D_5_E_0_b_0_F_8_E_4_D_3_m_2_C_16_C_0_-_4_e_2_E_5_D_0_b_0_-_0_-_0_-_0_B_0_-_0_-_8_f	0.367
2fhe_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_6_h_4_E_0_-_4_f_0_-_12_B_4_B_0_-_0_-_1_j_0_-_0_-_7_q_4_p_0_-_12_l_8_j_2_f	0.362
2ejq_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_5_b_12_m	_0_k_0_-_2_c_0_-_0_-_4_D_15_C_11_b_2_D_0_f_0_-_0_-_6_o	0.363
3uie_A	_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_g_4_E_6_k_4_D_0_-_0_c_11_n_0_-_3_D_5_h_0_-_6_E_3_f_4_e_21_B_7_l	0.473
2bcg_Y	_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_5_i_14_G_2_G_12_c_4_F_3_m_0_-_0_-_0_-_5_F_0_-_11_i_4_B_8_l	0.418
2v1n_A	_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_1_n_0_-_4_B_0_g_8_b_5_g_0_-_5_E_2_E_0_-_0_-_4_h_1_b	0.378
4rxy_A	_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_0_m_3_d_7_E_6_c_7_E_0_-_9_g_9_F_3_f_6_d_1_h_1_d_4_o_0_-_0_-_0_-_1_g_0_-_5_F_6_B_7_b	0.380
2dqw_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_4_F_0_-_5_i_3_D_4_k_5_C_3_i_3_B_0_-_7_i_2_D_9_c_0_-_5_m_0_-_5_C_8_h_1_d_5_B_5_f_4_b_0_-_0_-_1_k_4_C_2_k	0.402
3j7y_F	_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j	_13_D_0_-_0_-_11_B_2_d_4_k_2_A_0_-_48_A_6_m_3_C_9_j_5_C_0_-_8_h_0_-_4_B_0_-_1_b_2_e_2_D_0_j	0.366
5d5p_C	_0_k_10_j_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l	_0_k_8_j_3_C_0_-_4_j_6_C_5_d_0_-_3_j_4_F_7_F_4_F_0_-_9_k	0.557
2ida_A	_3_c_2_c_1_C_0_f_5_g_10_C	_0_d_11_c_8_C_0_-_15_h_3_C	0.738
3ef4_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j	_4_D_8_A_0_-_0_-_19_C_4_E_4_b_2_E_5_e_4_j	0.452
6d7r_A	_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k	_6_g_3_f_0_-_3_p_6_m_3_i_7_f_1_l_9_o_2_j	0.551
5ixu_A	_2_h_14_i_8_F_2_I_9_c_7_l	_4_f_5_c_4_F_7_G_2_j_2_k	0.528
1puz_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i	_0_i_0_-_5_m_2_j_0_-_3_h_9_j	0.645
6g09_A	_3_c_2_c_0_-_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_0_-_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_c_5_c_4_m_8_F_0_-_0_-_2_E_6_B_0_k_0_-_3_i_20_B_4_B_4_m_4_b_1_k_3_B_0_-_0_-_0_-_6_B_3_A_4_A_5_b_5_b_2_i_2_o_24_c_5_l_0_-_5_k_7_A_5_B_4_j_6_h_9_l	0.417
3ifq_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_4_k_3_g_0_-_2_j_5_k_0_-_3_h_2_i_0_-_0_-_0_-_3_m_3_f_2_c_1_d_0_-_3_l_3_h_0_-_2_j_3_k_5_f_2_i_3_l_9_g_7_k_0_-_4_f_4_j_3_k_0_-_0_-_6_h_3_i_4_k_3_h_2_o_12_l_3_h_0_-_3_f_5_k_3_h_3_f	0.369
5wxv_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_f_0_-_5_g_10_C_2_k	_0_b_11_b_0_-_0_E_0_-_3_c_9_m_3_D_6_c_2_d_11_b_6_C_11_f_4_E_7_h_3_H_4_k	0.490
5f82_A	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i_5_i_2_f	_0_j_2_F_5_D_5_A_0_-_1_m_7_B_0_-_2_b_5_e_4_B_0_j_0_-_2_j_0_-_2_i_13_b_9_A_1_k_5_j_8_c	0.435
4hec_B	_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_4_E_4_b_2_e_0_-_1_b_0_-_8_A_1_j_7_E_4_i_2_b_9_A_0_f	0.473
3fsd_A	_2_h_14_i_8_F_2_I_9_c	_0_i_5_f_0_G_5_A_1_h	0.351
4c7r_A	_0_k_0_-_10_j_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o	_1_n_1_c_13_j_0_-_2_m_9_j_1_l_11_c_1_c_0_-_0_-_0_-_1_d_1_t_10_l_6_q_2_p_5_c_2_c_0_-_0_-_3_i_0_-_1_j_4_t_10_i_7_q_10_u_2_n	0.402
1l7a_A	_2_e_2_h_14_i_8_F_2_I_9_c_0_-_0_-_7_l_0_-_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m	_0_d_0_-_11_k_6_D_6_I_0_b_0_I_5_F_7_j_3_D_33_m_3_J_1_j_0_-_5_D_6_f_7_g_0_-_3_j_0_-_3_f_0_-_0_-_0_-_4_E_0_-_7_i_4_E_8_l	0.361
1h2t_C	_0_k_10_j_8_B_0_m_8_k_0_-_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_0_-_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_1_n_3_l_0_-_5_l_5_j_2_s_5_c_13_k_10_i_0_-_0_-_32_b_12_m_0_-_3_h_0_-_0_-_9_k_9_k_0_-_4_k_1_b_2_l_7_f_0_-_7_l_3_f_0_-_2_e_21_j_4_i_7_j_0_-_0_-_1_b_3_i_1_f_3_l_3_k_5_h_1_b_6_l_4_r_7_l_0_-_1_i_11_j	0.377
2zjr_C	_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C	_0_l_58_m_17_h_8_C_3_c_8_C_0_b_3_e_2_B	0.608
1aor_A	_0_k_10_j_8_B_0_-_0_-_0_m_0_-_0_-_0_-_8_k_0_-_2_e_0_-_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_0_-_0_-_0_-_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_2_f_3_j_13_D_13_E_6_E_3_f_4_D_6_E_2_E_8_j_5_C_2_c_7_B_3_B_4_f_0_-_2_F_0_-_0_-_9_m_0_-_7_c_1_i_16_c_1_f_1_D_9_E_3_C_3_f_1_b_0_-_4_k_3_l_5_c_0_-_0_-_11_j_0_-_5_c_3_f_3_b_2_A_2_A_5_b_0_-_1_h_7_b_20_n_3_c_4_j_5_o_3_c_4_d_14_j_9_f	0.362
4ooc_A	_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b	_9_B_0_-_1_i_0_-_2_B_6_E_5_D_3_c_2_b_4_j_2_d	0.366
4n0w_A	_0_k_0_-_10_j_0_-_8_B_0_-_0_m_0_-_8_k_0_-_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m	_1_l_1_A_9_f_2_c_4_A_2_A_5_m_3_B_5_j_5_D_1_b_3_b_5_c_2_D_9_j_3_C_0_-_0_-_10_j_2_D_0_-_4_d_12_D_2_b_0_-_5_D_1_h_0_-_11_k_2_p_3_A_0_b_5_D_1_b_3_i_0_-_2_A_1_A_14_D_0_-_1_d_4_l_0_-_4_m	0.369
3hyu_B	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_j_0_-_4_l_1_i_5_e_1_m_6_c_0_-_0_-_1_c_11_m_6_m_1_c	0.484
1na5_A	_7_k_0_-_1_D_0_-_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_0_-_12_m	_6_m_4_G_3_D_1_e_3_d_11_f_7_b_6_G_10_i_2_G_1_b_6_e_0_-_4_b_1_C_2_l	0.422
1ot8_A	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_o_3_f_3_h_0_-_14_f_3_g_0_-_16_f_5_f_14_f_3_h_14_f_3_h_0_-_14_f_3_g	0.356
4d97_B	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_d_12_B_1_f_0_-_3_D_0_b_0_-_9_j_4_F_0_-_3_k_2_F_7_d_1_g_3_C_6_k_4_B_0_-_2_b_6_k_5_E_3_k_0_-_4_E_4_m_0_-_0_-_9_B_12_k_8_k_9_D_3_f	0.431
5j3e_B	_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g	_2_A_0_-_0_-_4_d_2_b_0_B_6_h_5_E_6_K_1_c_18_L_0_k_0_-_2_c_1_c_5_C_0_-_1_i	0.431
1osc_A	_0_k_0_-_0_-_10_j_8_B_0_m_8_k	_2_k_5_K_2_L_0_j_9_E_0_-_4_j	0.415
3r0a_A	_8_B_0_m_8_k_2_e_0_-_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_2_A_0_-_2_h_3_d_2_c_5_A_0_g_3_k_3_F_5_F_0_-_0_-_2_o	0.421
5f1a_A	_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_0_-_0_-_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_0_-_0_-_11_e_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_1_h_3_g_0_-_0_-_3_f_3_l_8_A_7_d_5_A_23_c_16_A_0_j_13_A_9_c_3_f_10_B_2_B_3_c_0_-_11_b_12_p_5_n_6_c_0_-_9_c_12_e_3_b_4_B_2_B_1_c_3_m_13_l_5_f_8_d_3_i_2_b_2_f_10_l_0_-_2_b_0_-_6_c_2_g_3_g	0.359
6xnu_A	_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k	_0_c_2_A_0_b_3_A_4_j_3_D_4_F_0_f_0_-_0_-_7_d_3_c_6_A_0_-_5_i_2_D_4_F_1_m	0.417
3bge_A	_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_0_l_3_k_0_-_0_-_4_j_0_-_5_b_3_k_2_m_5_l_0_-_0_-_7_b_14_b_13_j	0.365
2fhf_A	_10_j_0_-_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_0_-_2_I_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_0_-_0_-_0_-_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B	_4_j_3_C_3_B_6_b_7_f_1_c_4_b_6_g_9_h_11_F_11_j_8_E_3_A_11_c_21_B_4_m_0_-_0_-_0_-_3_C_2_b_2_j_6_C_24_B_1_g_9_c_3_b_0_-_0_-_13_l_7_B_5_B_0_b_1_A_2_A_6_b_0_B_9_g_6_l_0_-_4_D_2_b_13_d_17_k_0_-_8_m_3_c_3_f_0_C	0.393
1ux8_A	_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_1_m_4_b_5_k_5_e_0_-_0_-_0_-_0_-_4_d_6_m_4_m	0.395
2cw9_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_0_-_8_F_2_I	_0_l_10_h_0_-_0_-_5_f_5_e_5_f_2_l_3_A_3_H_8_I	0.391
2wc5_A	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_0_o_9_d_0_-_0_-_8_j_12_h_0_-_5_m_6_n_5_g	0.494
1qll_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b	_0_j_0_-_3_d_0_-_17_k_13_B_4_B_4_n_1_b_2_b_0_-_4_b	0.469
3q7z_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_D_2_c_0_-_0_-_3_G_4_D_0_-_1_c_1_B_2_k_20_b_5_f_2_i_2_j_20_A_0_k_6_j	0.418
4ghk_A	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e	_0_o_0_-_2_m_1_j_5_d_0_-_5_k_7_E_5_G_2_D_4_k_3_D_2_n_4_b_0_B_6_e_8_C_0_-_3_i_13_C_5_f_7_D_0_m_3_C_1_h_6_A_3_b_4_F_2_j_4_D_0_-_3_i_4_C_3_b_12_B_7_B_0_-_1_c	0.434
3ap3_D	_1_C_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j	_0_D_0_-_6_i_3_A_6_k_5_d_5_n_5_D_0_-_0_-_1_k_4_E_0_-_2_i_12_o_0_-_4_D_0_-_0_e_1_j_5_h_36_d_1_c_1_d_16_j	0.413
7mci_B	_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_0_-_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_3_i_0_-_0_-_9_j_0_-_2_f_14_i_4_E_0_-_0_-_2_l_6_A_6_c_2_l_3_E_1_e_3_i_21_p_8_C_6_k_4_B_24_h_0_-_0_-_0_-_2_C_2_b_1_h_13_l_5_o_3_D_2_k_3_F_0_-_0_-_4_j_2_b_0_-_3_C_3_i_4_C_0_-_3_j_1_b	0.378
2al1_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_0_-_2_c_1_C_0_-_0_-_0_f_0_-_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e	_6_f_6_j_0_-_9_m_0_-_0_-_4_h_0_-_6_B_1_G_1_b_8_D_6_p_1_c_14_l_6_D_2_c_0_A_2_A_10_b_3_k_2_D_7_g_5_C_0_-_0_-_7_h_5_C_1_c_0_-_2_k_3_D_0_-_9_g_4_B_6_n_0_B_0_-_1_b_3_c	0.379
4ryo_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_k_2_d_4_e_0_-_0_-_0_-_9_q_4_m_8_o_4_e	0.396
1vpx_F	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_0_-_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_3_h_5_B_7_j_3_C_0_-_5_j_0_-_5_E_2_j_4_E_2_i_3_D_0_-_0_e_4_l_0_-_0_-_0_-_4_D_0_-_4_h_4_C_1_f_3_m	0.405
